Bytes, Tempo de abertura arquivo, Tempo escrita no buffer, Tempo fechar arquivo, Tempo print, Tempo função
501, 380, 74, 274, 23188, 999969
502, 386, 71, 274, 22153, 999968
503, 429, 101, 379, 22782, 999967
504, 444, 117, 347, 45088, 999970
505, 384, 68, 285, 23650, 999967
506, 392, 74, 281, 22005, 999969
507, 387, 66, 273, 21192, 999969
508, 387, 69, 283, 22243, 999964
509, 384, 69, 270, 22589, 999968
510, 376, 74, 272, 22174, 999970
511, 397, 72, 341, 22229, 999969
512, 392, 64, 277, 22233, 999970
513, 379, 66, 270, 23973, 999970
514, 389, 67, 277, 22371, 999970
515, 381, 71, 275, 22307, 999969
516, 382, 70, 264, 22179, 999968
517, 376, 73, 271, 23612, 999967
518, 383, 67, 270, 22097, 999968
519, 400, 68, 354, 22462, 999967
520, 382, 74, 275, 22284, 999969
521, 379, 82, 274, 22274, 999969
522, 387, 69, 274, 22874, 999965
523, 383, 79, 278, 22381, 999970
524, 384, 67, 271, 23246, 999970
525, 378, 82, 273, 22172, 999967
526, 385, 74, 283, 23135, 999968
527, 385, 153, 343, 22211, 999969
528, 384, 65, 284, 23241, 999970
529, 384, 80, 274, 22293, 999967
530, 382, 68, 276, 22091, 999966
531, 378, 74, 274, 22243, 999968
532, 388, 66, 272, 22449, 999968
533, 387, 70, 272, 22250, 999968
534, 379, 64, 340, 23270, 999969
535, 379, 69, 270, 21913, 999969
536, 385, 69, 273, 22369, 999969
537, 368, 65, 284, 22133, 999968
538, 384, 69, 273, 23293, 999967
539, 379, 69, 273, 22218, 999968
540, 385, 78, 275, 22311, 999970
541, 395, 66, 275, 22305, 999968
542, 378, 84, 352, 22254, 999968
543, 374, 69, 275, 22172, 999969
544, 455, 134, 349, 23713, 999968
545, 380, 67, 275, 29716, 999968
546, 383, 68, 274, 22185, 999970
547, 381, 66, 278, 23020, 999968
548, 388, 69, 271, 22285, 999971
549, 459, 76, 283, 22335, 999968
550, 390, 68, 346, 21304, 999968
551, 392, 83, 273, 23124, 999958
552, 393, 64, 266, 22234, 999969
553, 393, 67, 273, 22082, 999968
554, 386, 67, 273, 22228, 999969
555, 385, 72, 273, 22895, 999969
556, 389, 65, 270, 22420, 999967
557, 387, 70, 346, 22489, 999966
558, 389, 70, 275, 22375, 999966
559, 383, 69, 288, 23036, 999967
560, 385, 76, 281, 22451, 999970
561, 382, 77, 274, 22233, 999968
562, 396, 72, 271, 22930, 999968
563, 381, 78, 274, 23486, 999967
564, 387, 68, 342, 23868, 999969
565, 388, 83, 278, 22705, 999966
566, 386, 75, 281, 23207, 999970
567, 385, 75, 276, 24861, 999966
568, 384, 67, 275, 23682, 999969
569, 385, 66, 275, 22598, 999968
570, 388, 76, 281, 22774, 999966
571, 384, 70, 347, 24030, 999967
572, 387, 91, 281, 23769, 999971
573, 384, 69, 274, 23141, 999968
574, 393, 68, 288, 23522, 999968
575, 400, 105, 323, 23702, 999966
576, 385, 72, 278, 23713, 999968
577, 382, 81, 277, 23230, 999966
578, 384, 66, 273, 22748, 999970
579, 378, 86, 344, 23383, 999968
580, 390, 77, 274, 21603, 999968
581, 382, 93, 277, 22471, 999966
582, 410, 77, 272, 21992, 999967
583, 389, 70, 273, 22402, 999968
584, 417, 129, 348, 26940, 999965
585, 439, 111, 364, 46320, 999965
586, 398, 68, 355, 22743, 999969
587, 377, 78, 287, 23210, 999967
588, 384, 73, 286, 22431, 999970
589, 379, 66, 285, 22582, 999968
590, 380, 64, 290, 22823, 999968
591, 378, 74, 303, 23301, 999967
592, 384, 77, 279, 22378, 999968
593, 378, 77, 333, 22173, 999969
594, 396, 70, 275, 22281, 999969
595, 377, 73, 276, 23062, 999968
596, 378, 72, 273, 22276, 999968
597, 383, 71, 273, 22180, 999968
598, 384, 68, 270, 22354, 999970
599, 379, 70, 342, 23108, 999970
600, 383, 65, 269, 22291, 999966
601, 383, 68, 284, 22186, 999969
602, 459, 75, 283, 22356, 999968
603, 389, 69, 271, 22970, 999968
604, 486, 70, 275, 22287, 999967
605, 380, 73, 276, 22588, 999967
606, 482, 68, 343, 22392, 999967
607, 380, 67, 271, 23719, 999971
608, 387, 63, 271, 22325, 999969
609, 378, 71, 294, 22170, 999968
610, 468, 76, 300, 22272, 999971
611, 393, 70, 279, 23407, 999968
612, 387, 74, 278, 22459, 999969
613, 373, 73, 343, 22123, 999969
614, 487, 73, 271, 22213, 999967
615, 376, 66, 270, 23234, 999968
616, 387, 70, 266, 22301, 999966
617, 381, 70, 284, 22212, 999969
618, 381, 84, 276, 22292, 999969
619, 379, 77, 275, 22176, 999970
620, 474, 72, 343, 23069, 999966
621, 378, 72, 270, 22260, 999970
622, 382, 81, 280, 22207, 999967
623, 390, 70, 274, 22255, 999970
624, 380, 80, 272, 23067, 999968
625, 437, 121, 656, 45621, 999965
626, 384, 74, 357, 34030, 999970
627, 479, 75, 283, 22742, 999969
628, 381, 67, 284, 22535, 999965
629, 386, 66, 286, 22978, 999968
630, 382, 76, 286, 23764, 999970
631, 383, 71, 298, 23348, 999969
632, 393, 68, 276, 22782, 999968
633, 380, 69, 346, 22505, 999967
634, 387, 88, 301, 23291, 999966
635, 383, 72, 295, 22000, 999969
636, 388, 71, 269, 22374, 999969
637, 380, 74, 275, 22403, 999967
638, 385, 89, 273, 23346, 999968
639, 381, 72, 364, 21926, 999970
640, 392, 70, 269, 22294, 999967
641, 381, 78, 273, 25554, 999968
642, 385, 71, 275, 23356, 999969
643, 384, 71, 292, 22245, 999970
644, 387, 70, 277, 22438, 999968
645, 390, 71, 346, 22306, 999968
646, 383, 75, 291, 25144, 999971
647, 381, 103, 335, 22408, 999967
648, 397, 71, 282, 22788, 999968
649, 506, 75, 278, 23149, 999968
650, 380, 69, 272, 24098, 999969
651, 379, 71, 313, 23060, 999968
652, 421, 71, 343, 22657, 999962
653, 401, 99, 309, 22283, 999936
654, 436, 139, 270, 23318, 999969
655, 376, 68, 273, 22321, 999968
656, 384, 62, 359, 22574, 999968
657, 375, 67, 269, 22268, 999968
658, 381, 83, 345, 23306, 999967
659, 441, 76, 277, 21585, 999969
660, 444, 180, 278, 22379, 999969
661, 378, 71, 278, 22118, 999969
662, 377, 81, 274, 23464, 999969
663, 386, 89, 387, 23663, 999968
664, 424, 70, 336, 34668, 999967
665, 382, 66, 275, 22279, 999967
666, 382, 70, 294, 23531, 999968
667, 382, 82, 268, 22435, 999966
668, 389, 69, 268, 22456, 999969
669, 386, 83, 270, 22524, 999968
670, 379, 67, 331, 23462, 999967
671, 390, 68, 268, 22780, 999957
672, 389, 70, 305, 22614, 999970
673, 376, 78, 274, 22596, 999970
674, 452, 66, 277, 22927, 999967
675, 366, 70, 270, 22706, 999970
676, 420, 71, 335, 22378, 999968
677, 368, 70, 272, 22804, 999968
678, 388, 75, 338, 23375, 999969
679, 435, 70, 270, 22434, 999967
680, 449, 69, 304, 22449, 999968
681, 379, 73, 271, 22150, 999967
682, 383, 77, 339, 23423, 999971
683, 377, 65, 275, 22162, 999969
684, 385, 79, 330, 22710, 999968
685, 427, 76, 296, 23217, 999971
686, 382, 72, 269, 23561, 999969
687, 429, 73, 269, 22371, 999967
688, 381, 66, 343, 22687, 999971
689, 376, 65, 267, 22571, 999967
690, 439, 68, 266, 24047, 999969
691, 442, 112, 303, 22239, 999966
692, 381, 70, 269, 22046, 999968
693, 377, 72, 352, 22288, 999969
694, 384, 67, 336, 22492, 999970
695, 378, 79, 276, 22545, 999969
696, 382, 71, 291, 22671, 999967
697, 378, 82, 280, 22357, 999969
698, 405, 72, 298, 23083, 999966
699, 375, 87, 276, 22339, 999968
700, 384, 68, 338, 22941, 999970
701, 377, 68, 268, 22677, 999969
702, 383, 72, 268, 23863, 999970
703, 612, 246, 771, 26019, 999943
704, 665, 93, 347, 39756, 999957
705, 481, 91, 349, 29905, 999957
706, 441, 105, 373, 26783, 999969
707, 379, 81, 282, 22355, 999968
708, 414, 69, 274, 22233, 999924
709, 382, 81, 272, 22555, 999968
710, 389, 66, 277, 22581, 999971
711, 385, 73, 273, 23190, 999970
712, 383, 74, 420, 24272, 999971
713, 379, 68, 276, 22514, 999969
714, 378, 90, 277, 22779, 999970
715, 363, 70, 379, 22549, 999971
716, 549, 74, 312, 23621, 999968
717, 374, 73, 353, 22505, 999967
718, 382, 64, 278, 22843, 999969
719, 379, 66, 275, 22685, 999970
720, 379, 77, 269, 23771, 999970
721, 428, 128, 319, 22742, 999968
722, 378, 69, 277, 22650, 999970
723, 486, 73, 353, 23474, 999968
724, 383, 70, 285, 24445, 999970
725, 390, 69, 279, 22539, 999968
