Tempo,Item,Taxa de giro em X,Taxa de giro em Y,Taxa de giro em Z,Aceleração em Z,Pitch,Roll,
Segundos,it,º/s,º/s,º/s,g,º,º,
1428,298,0,0,0,1.001,0,0,
1433,299,0,0,0,1.002,0,0,
1437,300,0,0,0,1.000,0,0,
1443,301,0,0,0,1.003,0,0,
1447,302,0,0,0,1.004,0,0,
1452,303,0,0,0,0.999,0,0,
1457,304,0,0,0,0.998,0,0,
1462,305,0,0,0,1.002,0,0,
1467,306,0,0,0,0.875,0,0,
1472,307,0,0,0,1.004,0,0,
1476,308,0,0,0,0.998,0,0,
1481,309,0,0,0,0.997,0,0,
1486,310,0,0,0,1.003,0,0,
1491,311,0,0,0,1.007,0,0,
1496,312,0,0,0,1.000,0,0,
1501,313,0,0,0,0.995,0,0,
1506,314,0,0,0,0.997,0,0,
1511,315,0,0,0,1.123,0,0,
1515,316,0,0,0,1.124,0,0,
1520,317,0,0,0,1.009,0,0,
1525,318,0,0,0,0.996,0,0,
1529,319,0,0,0,1.116,0,0,
1534,320,0,0,0,0.993,0,0,
1539,321,0,0,0,0.995,0,0,
1544,322,0,0,0,0.997,0,0,
1549,323,0,0,0,1.004,0,0,
1553,324,0,0,0,0.877,0,0,
1558,325,0,0,0,0.990,0,0,
1563,326,0,0,0,0.998,0,0,
1568,327,0,0,0,1.000,0,0,
1573,328,0,0,0,1.000,0,0,
1578,329,0,0,0,1.003,0,0,
1582,330,0,0,0,1.001,0,0,
1587,331,0,0,0,0.990,0,0,
1592,332,0,0,0,1.122,0,0,
1597,333,0,0,0,0.997,0,0,
1602,334,0,0,0,1.006,0,0,
1607,335,0,0,0,0.990,0,0,
1618,336,0,0,0,1.005,0,0,
1623,337,0,0,0,1.121,0,0,
1628,338,0,0,0,1.005,0,0,
1633,339,0,0,0,0.997,0,0,
1637,340,0,0,0,0.991,0,0,
1642,341,0,0,0,0.884,0,0,
1647,342,0,0,0,0.996,0,0,
1652,343,0,0,0,1.007,0,0,
1657,344,0,0,0,1.005,0,0,
1662,345,0,0,0,1.000,0,0,
1667,346,0,0,0,0.994,0,0,
1672,347,0,0,0,0.996,0,0,
1676,348,0,0,0,1.000,0,0,
